estado,indice_socioeconomico,classificacao
Espírito Santo,0.16300404089586337,baixo
Espírito Santo,0.1739877508682736,baixo
Espírito Santo,0.17676371431110774,baixo
Espírito Santo,0.14464819261606623,baixo
Espírito Santo,0.2004913230480042,baixo
Minas Gerais,0.05601601745056894,baixo
Minas Gerais,0.04571560379690955,baixo
Minas Gerais,0.16559539498357073,baixo
Minas Gerais,0.14387673123472894,baixo
Rio de Janeiro,0.6748346727560633,alto
Rio de Janeiro,0.8453053495662474,alto
Rio de Janeiro,0.8618623639783428,alto
Rio de Janeiro,0.5566680192891428,médio
Rio de Janeiro,0.6768955644488573,alto
São Paulo,0.8505711335805608,alto
São Paulo,0.939442615190085,alto
São Paulo,1.0,alto
São Paulo,0.6895775851337366,alto
São Paulo,0.7357301249060523,alto
