variavel,impacto
sem instrução ou fundamental incompleto,0.11555077856494689
proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico(%),0.08605211848283119
ensino fundamental completo ou médio incompleto,0.07835067026082183
rendimento-hora médio real habitual do trabalho principal(r$/hora),0.07706381732261652
rendimento médio real habitual de todos os trabalhos(r$/mês),0.07248042419352443
rendimento médio real habitual do trabalho principal(r$/mês),0.060269013367608607
número de beneficiários de plano de saúde,0.05927591338838799
taxa de analfabetismo,0.053083659591622895
ensino superior completo,0.049799667320498314
domicílio cedido por empregador,0.04675801818767016
ensino médio completo ou superior incompleto,0.04380465574193756
outra forma,0.04062919005884222
taxa de formalização,0.03935542976275665
rendimento-hora médio real habitual de todos os trabalhos(r$/hora),0.036651731745592366
índice gini,0.0305714320890455
população desocupada,0.011519934343584544
nível de ocupação,0.011032897056567374
população subutilizada,0.008292140892715785
taxa total mortalidade,0.008091261555958752
total pessoas ocupadas(1 000 pessoas),0.00729589095242424
70 anos ou mais,0.006739664557998235
domicílio alugado,0.005435355703073468
domicílio cedido de outra forma,0.00518749975111763
taxa de desocupação,0.004747721980339061
45 a 59 anos,0.0046483015164843116
taxa composta de subutilização,0.004497573864427557
população na força de trabalho potencial,0.003986587857572095
domicílio próprio - já pago,0.0036967771101849346
60 a 69 anos,0.003308591129582522
60 anos ou mais,0.0030311085295414036
domicílio cedido por familiar,0.002821688572171627
população ocupada,0.0020346541690143926
15 a 29 anos,0.001978161481057872
domicílio próprio - pagando,0.0018416260283671568
taxa de participação,0.0017979800670570967
número mensal médio de leitos de internação (total),0.0015699575007288987
0 a 14 anos,0.0015021973815890152
população ocupada em trabalhos formais,0.0012098568618368322
saneamento basico total(1 000 pessoas),0.0010861589941929838
população,0.000951001603266047
população na força de trabalho,0.0006984836478971099
total pessoas por condição de ocupação a domicílio(1 000 pessoas),0.0005984499261882677
população em idade de trabalhar,0.0005628104162204548
30 a 44 anos,0.00013914647013734785
