variavel,impacto
rendimento médio real habitual do trabalho principal(r$/mês),0.24081447160464806
rendimento médio real habitual de todos os trabalhos(r$/mês),0.2138535408764226
índice gini,0.17071726272699672
rendimento-hora médio real habitual de todos os trabalhos(r$/hora),0.11079997243848881
rendimento-hora médio real habitual do trabalho principal(r$/hora),0.10011271947664623
taxa de formalização,0.09436755344224074
sem instrução ou fundamental incompleto,-0.07104905201899941
taxa composta de subutilização,-0.06795054771273268
60 a 69 anos,0.06332571302153378
30 a 44 anos,-0.05712421373858256
15 a 29 anos,-0.057069009692618966
ensino fundamental completo ou médio incompleto,-0.055100711964942733
domicílio próprio - pagando,0.04275217488633623
taxa de desocupação,-0.04234924181250599
domicílio cedido por empregador,-0.04059600860080881
taxa de analfabetismo,-0.039709625273865956
população ocupada,-0.03769138807096256
população desocupada,0.03623613648447817
domicílio próprio - já pago,-0.03387290178837965
70 anos ou mais,-0.033805870088503776
domicílio alugado,0.03290344154141278
outra forma,0.032221234728489534
população na força de trabalho,-0.02982483317104387
taxa total mortalidade,-0.028703044999825122
população ocupada em trabalhos formais,-0.028559805675844152
número de beneficiários de plano de saúde,-0.02762849389152877
total pessoas ocupadas(1 000 pessoas),0.02391757285780738
ensino médio completo ou superior incompleto,-0.02303298864907466
população em idade de trabalhar,-0.022085245383015567
45 a 59 anos,0.02021892966958827
população na força de trabalho potencial,0.0164726686880224
população subutilizada,0.016193003068176604
domicílio cedido por familiar,0.01553472395333394
domicílio cedido de outra forma,-0.015533550234222426
taxa de participação,-0.013236123187881033
saneamento basico total(1 000 pessoas),-0.011138163924716477
total pessoas por condição de ocupação a domicílio(1 000 pessoas),-0.011138163924716477
0 a 14 anos,0.010290849749795564
número mensal médio de leitos de internação (total),-0.009798692804159598
ensino superior completo,0.0069989629841987755
população,-0.0052870464299478726
nível de ocupação,-0.0036049569371748857
proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico(%),-0.0034439714168224556
60 anos ou mais,-0.0014919028399486
