#Número de beneficiários de plano de saúde, por trimestre, segundo Grandes Regiões e Unidades da Federação - Brasil
Estado,T1 2019,T2 2019,T3 2019,T4 2019,T1 2020,T2 2020,T3 2020,T4 2020,T1 2021,T2 2021,T3 2021,T4 2021,T1 2022,T2 2022,T3 2022,T4 2022,T1 2023,T2 2023,T3 2023,T4 2023
Rondônia,99941,104567,104202,103809,105345,107436,106437,112245,109397,108095,109470,109143,110414,111001,112095,112299,113119,115597,116071,120689
Acre,15112,14374,14409,15464,15573,15018,15544,15774,15552,16134,16825,16934,17300,17219,17282,17279,17062,17349,18595,19973
Amazonas,400005,409042,415795,430642,439485,421017,439357,457801,459628,462840,462127,490663,497536,505700,515848,509477,542588,549525,553702,558178
Roraima,9213,9476,9812,10665,10803,10289,10805,11289,10825,10722,10972,10730,10902,11118,11045,11491,11372,11631,11768,11691
Pará,410263,417289,414379,426214,428410,418499,440902,457614,460211,469526,505659,506517,499187,514505,508455,509878,510563,518613,525875,538871
Amapá,43889,43420,44229,44497,44445,44021,45834,48269,48598,49095,49644,49510,48457,48235,50965,52097,51416,50313,47846,48172
Tocantins,49181,120511,121949,126251,126445,111537,62062,63728,63182,128883,130005,130278,129395,119472,120848,121521,122139,121469,124778,127249
Maranhão,197051,194141,195059,201519,206131,199345,214092,223894,224574,230766,240966,245027,252267,265950,272590,281604,287596,293209,314189,324883
Piauí,84202,84390,85628,91800,96288,89132,93756,105918,108355,112993,120771,128841,130013,138822,145142,151008,157527,169434,179582,191980
Ceará,951107,964397,944408,966518,992173,958343,979538,996734,1022691,1009002,1020264,1048814,1051472,1088977,1126009,1157246,1174417,1194993,1222830,1321364
Rio Grande do Norte,333537,332059,332677,340649,340441,335328,347244,366146,379260,386744,403901,436371,437972,468225,480862,490433,494914,512582,521987,540780
Paraíba,359852,364948,373186,384063,387054,371133,384564,390769,396449,405220,416901,425572,431382,447026,454883,463947,471318,479508,496763,516664
Pernambuco,933393,943474,930980,971839,993758,966361,994808,1028516,1030535,1057949,1097585,1129896,1140800,1167949,1199357,1214288,1225580,1222555,1254709,1280196
Alagoas,276044,271017,271451,276080,274108,263701,269394,279389,279711,281630,283962,286829,286534,295952,311085,392455,405228,468248,482335,490873
Sergipe,199197,202374,202906,208189,209363,203195,205419,212101,211156,206102,211099,216093,208424,216344,224275,228511,227947,229278,234494,244505
Bahia,1489791,1506691,1490949,1530458,1515577,1437533,1447787,1460863,1472447,1490104,1524530,1559314,1570226,1612301,1657414,1685137,1724762,1755995,1793928,1837459
Minas Gerais,2028418,2052949,2086447,2114067,2135032,2076551,2122753,2169375,2204160,2246826,2416415,2448689,2488221,2556787,2563035,2587502,2603550,2651392,2733179,2817428
Espírito Santo,500745,502061,511731,520862,520951,504997,528315,557542,562986,586718,601929,615475,620316,633269,649393,654533,657764,667284,697039,723027
Rio de Janeiro,3236462,3152799,3333651,3392534,3329855,3173416,3247937,3234867,3209255,3220400,3305016,3364728,3354759,3394265,3459231,3500414,3518761,3531854,3602007,3664852
São Paulo,8457675,8560938,8725821,8962616,9027808,8808893,9167235,9383351,9590526,9718166,9942778,10084788,10195419,10395235,10627426,10700749,10806042,10894369,11018246,11167677
Paraná,1242679,1253001,1268056,1280377,1289026,1262632,1278908,1312098,1366536,1402412,1510602,1531279,1543232,1552723,1598716,1611035,1605991,1628435,1653149,1709020
Santa Catarina,492707,504790,518183,537477,543343,535863,550157,591051,618875,645570,731489,766402,742605,767914,786251,808077,815443,818832,847593,872829
Rio Grande do Sul,754151,749055,758612,763514,764929,744613,751972,760209,762658,791781,793309,805909,811782,814720,826105,845278,865015,964364,993164,1022096
Mato Grosso do Sul,140771,142617,143896,143193,144181,145459,149226,152396,152875,157210,160434,162560,164671,171070,179241,321005,316262,439872,452968,454354
Mato Grosso,202286,206352,211883,215110,214218,211320,215775,216281,218568,221511,226686,229712,234250,240474,246249,246458,251698,258180,265705,272221
Goiás,660710,670021,681054,686586,681960,661229,682639,724486,753345,736637,740025,752121,758319,778872,804224,820170,833188,844760,872398,907811
Distrito Federal,542191,546924,562650,575180,583018,574617,604391,604311,604987,609313,610882,610177,616328,599499,606490,616688,625697,634100,669339,679295
