IDHM - Índice de Desenvolvimento Humano Municipal
Estado,Ano,IDH
Acre,2019,0.739
Alagoas,2019,0.687
Amazonas,2019,0.726
Amapá,2019,0.737
Bahia,2019,0.718
Ceará,2019,0.744
Distrito Federal,2019,0.859
Espírito Santo,2019,0.793
Goiás,2019,0.774
Maranhão,2019,0.694
Minas Gerais,2019,0.793
Mato Grosso do Sul,2019,0.777
Mato Grosso,2019,0.779
Pará,2019,0.704
Paraíba,2019,0.713
Pernambuco,2019,0.74
Piauí,2019,0.706
Paraná,2019,0.807
Rio de Janeiro,2019,0.809
Rio Grande do Norte,2019,0.742
Rondônia,2019,0.73
Roraima,2019,0.749
Rio Grande do Sul,2019,0.801
Santa Catarina,2019,0.826
Sergipe,2019,0.705
São Paulo,2019,0.845
Tocantins,2019,0.751
Acre,2020,0.746
Alagoas,2020,0.694
Amazonas,2020,0.727
Amapá,2020,0.724
Bahia,2020,0.724
Ceará,2020,0.755
Distrito Federal,2020,0.829
Espírito Santo,2020,0.792
Goiás,2020,0.758
Maranhão,2020,0.699
Minas Gerais,2020,0.789
Mato Grosso do Sul,2020,0.76
Mato Grosso,2020,0.756
Pará,2020,0.719
Paraíba,2020,0.714
Pernambuco,2020,0.739
Piauí,2020,0.708
Paraná,2020,0.787
Rio de Janeiro,2020,0.785
Rio Grande do Norte,2020,0.75
Rondônia,2020,0.739
Roraima,2020,0.739
Rio Grande do Sul,2020,0.78
Santa Catarina,2020,0.803
Sergipe,2020,0.722
São Paulo,2020,0.823
Tocantins,2020,0.755
Acre,2021,0.71
Alagoas,2021,0.684
Amazonas,2021,0.7
Amapá,2021,0.688
Bahia,2021,0.691
Ceará,2021,0.734
Distrito Federal,2021,0.814
Espírito Santo,2021,0.771
Goiás,2021,0.737
Maranhão,2021,0.676
Minas Gerais,2021,0.774
Mato Grosso do Sul,2021,0.742
Mato Grosso,2021,0.736
Pará,2021,0.69
Paraíba,2021,0.698
Pernambuco,2021,0.719
Piauí,2021,0.69
Paraná,2021,0.769
Rio de Janeiro,2021,0.762
Rio Grande do Norte,2021,0.728
Rondônia,2021,0.7
Roraima,2021,0.699
Rio Grande do Sul,2021,0.771
Santa Catarina,2021,0.792
Sergipe,2021,0.702
São Paulo,2021,0.806
Tocantins,2021,0.731
Acre,2022,
Alagoas,2022,
Amazonas,2022,
Amapá,2022,
Bahia,2022,
Ceará,2022,
Distrito Federal,2022,
Espírito Santo,2022,
Goiás,2022,
Maranhão,2022,
Minas Gerais,2022,
Mato Grosso do Sul,2022,
Mato Grosso,2022,
Pará,2022,
Paraíba,2022,
Pernambuco,2022,
Piauí,2022,
Paraná,2022,
Rio de Janeiro,2022,
Rio Grande do Norte,2022,
Rondônia,2022,
Roraima,2022,
Rio Grande do Sul,2022,
Santa Catarina,2022,
Sergipe,2022,
São Paulo,2022,
Tocantins,2022,
Acre,2023,
Alagoas,2023,
Amazonas,2023,
Amapá,2023,
Bahia,2023,
Ceará,2023,
Distrito Federal,2023,
Espírito Santo,2023,
Goiás,2023,
Maranhão,2023,
Minas Gerais,2023,
Mato Grosso do Sul,2023,
Mato Grosso,2023,
Pará,2023,
Paraíba,2023,
Pernambuco,2023,
Piauí,2023,
Paraná,2023,
Rio de Janeiro,2023,
Rio Grande do Norte,2023,
Rondônia,2023,
Roraima,2023,
Rio Grande do Sul,2023,
Santa Catarina,2023,
Sergipe,2023,
São Paulo,2023,
Tocantins,2023,
