#Indicadores estruturais do mercado de trabalho das pessoas de 14 anos ou mais de idade segundo as Grandes Regiões e as Unidades da Federação e os Municípios das Capitais Brasil (1000 pessoas)
Estado,Ano,População em idade de trabalhar,População na força de trabalho,População ocupada,População ocupada em trabalhos formais,População desocupada,População na força de trabalho potencial,População subutilizada,Taxa de participação,Nível de ocupação,Taxa de formalização,Taxa de desocupação,Taxa composta de subutilização
Rondônia,2023,1496,851,824,486,27,19,56,56.9,55.1,59.0,3.2,6.5 
Acre,2023,691,342,316,152,25,36,68,49.4,45.7,48.0,7.5,18.0 
Amazonas,2023,3182,1946,1752,703,194,139,424,61.2,55.1,40.1,9.9,20.3 
Roraima,2023,449,280,262,120,18,13.38,62.5,58.4,45.7,6.6,12.8 
Pará,2023,6862,4194,3869,1449,325,476,1123,61.1,56.4,37.4,7.7,24.1 
Amapá,2023,716,441,391,198,50,36,98,61.5,54.5,50.8,11.3,20.6 
Tocantins,2023,1256,801,755,342,46,64,159,63.8,60.1,45.3,5.8,18.4 
Maranhão,2023,5566,2824,2601,917,223,553,959,50.7,46.7,35.3,7.9,28.4
Piauí,2023,2663,1406,1268,497,138,312,692,52.8,47.6,39.2,9.8,40.3
Ceará,2023,7498,4017,3675,1563,342,468,1106,53.6,49.0,42.5,8.5,24.7
Rio Grande do Norte,2023,2897,1513,1350,692,163,185,443,52.2,46.6,51.2,10.7,26.1
Paraíba,2023,3239,1706,1543,673,163,205,524,52.7,47.6,43.6,9.6,27.4
Pernambuco,2023,7772,4245,3674,1705,571,383,1259,54.6,47.3,46.4,13.4,27.2
Alagoas,2023,2660,1387,1259,582,128,229,454,52.1,47.3,46.2,9.2,28.1
Sergipe,2023,1876,1092,967,441,125,150,404,58.2,51.5,45.6,11.4,32.5
Bahia,2023,12085,6997,6075,2595,922,979,2638,57.9,50.3,42.7,13.2,33.1
Minas Gerais,2023,17705,11483,10818,6692,665,578,1688,64.9,61.1,61.9,5.8,14.0
Espírito Santo,2023,3377,2158,2036,1222,122,81,266,63.9,60.3,60.0,5.7,11.9
Rio de Janeiro,2023,14725,9063,8149,5142,914,318,1602,61.5,55.3,63.1,10.1,17.1 
São Paulo,2023,39274,26434,24463,16622,1971,1032,4035,67.3,62.3,67.9,7.5,14.7
Paraná,2023,9590,6280,5980,4209,301,220,705,65.5,62.4,70.4,4.8,10.8
Santa Catarina,2023,6112,4173,4030,3107,143,54,254,68.3,65.9,77.1,3.4,6.0
Rio Grande do Sul,2023,9470,6226,5887,4151,338,204,774,65.7,62.2,70.5,5.4,12.0
Mato Grosso do Sul,2023,2226,1500,1430,875,70,42,151,67.4,64.2,61.2,4.7,9.8
Mato Grosso,2023,2829,1892,1830,1154,63,72,177,66.9,64.7,63.1,3.3,9.0
Goiás,2023,5987,4116,3876,2291,240,112,492,68.7,64.7,59.1,5.8,11.6
