#Indicadores de rendimento do trabalho das pessoas de 14 anos ou mais de idade segundo as Grandes Regiões e as Unidades da Federação e os Municípios das Capitais - Brasil
Estado,Ano,Rendimento médio real habitual do trabalho principal(R$/mês),Rendimento médio real habitual de todos os trabalhos(R$/mês),Rendimento-hora médio real habitual do trabalho principal(R$/hora),Rendimento-hora médio real habitual de todos os trabalhos(R$/hora)	
Rondônia,2023,2636,2695,18.0,18.0
Acre,2023,2338,2358,15.0,15.0
Amazonas,2023,2308,2367,14.4,14.4
Roraima,2023,2701,2791,16.7,16.6
Pará,2023,2176,2265,13.8,13.8
Amapá,2023,2748,2828,17.3,17.1
Tocantins,2023,2526,2648,15.9,15.9
Maranhão,2023,1804,1877,12.2,12.2
Piauí,2023,2135,2304,15.1,15.1
Ceará,2023,1869,1926,12.2,12.3
Rio Grande do Norte,2023,2190,2338,14.2,14.2
Paraíba,2023,2286,2392,14.8,14.7
Pernambuco,2023,1905,1952,12.2,12.2
Alagoas,2023,1896,1977,12.3,12.3
Sergipe,2023,1882,1977,12.9,12.9
Bahia,2023,1800,1865,11.9,11.9
Minas Gerais,2023,2680,2810,16.1,16.2
Espírito Santo,2023,2889,3004,18.4,18.4
Rio de Janeiro,2023,3551,3632,21.9,21.9
São Paulo,2023,3505,3592,21.4,21.5
Paraná,2023,3089,3166,19.0,19.1
Santa Catarina,2023,3259,3316,19.3,19.3
Rio Grande do Sul,2023,3114,3222,19.1,19.1
Mato Grosso do Sul,2023,3043,3132,18.6,18.6
Mato Grosso,2023,3181,3245,18.5,18.5
Goiás,2023,2891,2970,17.5,17.6
Distrito Federal,2023,4741,4944,28.3,28.4
Rondônia,2022,2400,2443,16.1,16.2
Acre,2022,2294,2318,14.9,14.9
Amazonas,2022,2035,2081,13.3,13.3
Roraima,2022,2606,2659,16.2,16.2
Pará,2022,1917,2000,12.4,12.4
Amapá,2022,2387,2471,15.3,15.2
Tocantins,2022,2475,2545,15.3,15.3
Maranhão,2022,1671,1713,11.2,11.2
Piauí,2022,1886,2022,13.0,13.0
Ceará,2022,1814,1869,12.0,12.0
Rio Grande do Norte,2022,2213,2311,15.4,15.3
Paraíba,2022,1923,2198,13.1,13.1
Pernambuco,2022,1837,1888,11.5,11.5
Alagoas,2022,1796,1856,11.5,11.5
Sergipe,2022,1977,2121,13.5,13.5
Bahia,2022,1689,1740,10.9,11.0
Minas Gerais,2022,2355,2433,14.5,14.5
Espírito Santo,2022,2675,2773,16.3,16.3
Rio de Janeiro,2022,3258,3341,20.2,20.2
São Paulo,2022,3329,3425,19.9,19.9
Paraná,2022,2957,3029,17.6,17.6
Santa Catarina,2022,3108,3155,18.3,18.3
Rio Grande do Sul,2022,3004,3090,18.1,18.1
Mato Grosso do Sul,2022,3051,3101,19.0,19.1
Mato Grosso,2022,2932,2974,17.9,18.0
Goiás,2022,2588,2636,15.6,15.7
Distrito Federal,2022,4487,4631,27.8,27.8
Rondônia,2021,2258,2298,13.6,13.6
Acre,2021,2195,2256,14.1,14.1
Amazonas,2021,2022,2087,12.9,12.9
Roraima,2021,2541,2636,16.2,16.1
Pará,2021,1894,1946,12.2,12.3
Amapá,2021,2217,2251,13.7,13.7
Tocantins,2021,2327,2396,18.7,18.6
Maranhão,2021,1644,1690,11.1,11.0
Piauí,2021,1620,1705,10.8,10.8
Ceará,2021,1996,2067,12.4,12.4
Rio Grande do Norte,2021,2333,2486,15.8,15.9
Paraíba,2021,1961,2090,12.7,12.7
Pernambuco,2021,2014,2060,12.6,12.5
Alagoas,2021,1819,1861,12.0,11.9
Sergipe,2021,1998,2071,13.5,13.5
Bahia,2021,1791,1835,12.1,12.1
Minas Gerais,2021,2378,2463,14.3,14.4
Espírito Santo,2021,2487,2555,15.3,15.3
Rio de Janeiro,2021,3349,3453,21.4,21.4
São Paulo,2021,3501,3609,21.2,21.3
Paraná,2021,2987,3043,17.8,17.8
Santa Catarina,2021,3023,3091,18.2,18.1
Rio Grande do Sul,2021,2997,3069,18.0,18.0
Mato Grosso do Sul,2021,2820,2910,17.2,17.2
Mato Grosso,2021,2800,2835,16.5,16.5
Goiás,2021,2512,2575,15.0,15.0
Distrito Federal,2021,4684,4803,28.6,28.7
Rondônia,2020,2344,2432,14.8,14.9
Acre,2020,2384,2427,15.3,15.3
Amazonas,2020,2188,2263,14.0,14.0
Roraima,2020,2507,2610,15.4,15.4
Pará,2020,1991,2038,12.7,12.7
Amapá,2020,2390,2434,15.5,15.4
Tocantins,2020,2332,2392,14.7,14.7
Maranhão,2020,1701,1732,11.2,11.2
Piauí,2020,1630,1744,11.2,11.2
Ceará,2020,2233,2304,14.0,14.0
Rio Grande do Norte,2020,2290,2412,14.5,14.6
Paraíba,2020,1989,2113,12.9,13.0
Pernambuco,2020,2152,2235,13.9,13.8
Alagoas,2020,1949,2048,12.8,12.7
Sergipe,2020,2152,2263,14.0,14.0
Bahia,2020,2223,2307,14.2,14.2
Minas Gerais,2020,2408,2528,14.8,14.9
Espírito Santo,2020,2751,2834,16.7,16.7
Rio de Janeiro,2020,3514,3606,21.9,21.9
São Paulo,2020,3743,3862,21.8,22.0
Paraná,2020,3167,3250,19.3,19.3
Santa Catarina,2020,3143,3186,18.5,18.5
Rio Grande do Sul,2020,3192,3284,19.3,19.3
Mato Grosso do Sul,2020,2967,3070,17.9,17.9
Mato Grosso,2020,2985,3029,17.5,17.4
Goiás,2020,2590,2651,15.6,15.5
Distrito Federal,2020,5092,5180,30.9,30.9
Rondônia,2019,2407,2503,15.8,15.7
Acre,2019,2358,2407,15.3,15.3
Amazonas,2019,2100,2165,13.4,13.4
Roraima,2019,2633,2743,17.9,17.7
Pará,2019,1826,1873,11.8,11.9
Amapá,2019,2333,2372,15.8,15.8
