#População Total de Estados no Nordeste do Brasil (x 1000)
Estado,Ano,População
Acre,2019,865
Alagoas,2019,3330
Amazonas,2019,3983
Amapá,2019,838
Bahia,2019,14854
Ceará,2019,9129
Distrito Federal,2019,301
Espírito Santo,2019,4015
Goiás,2019,7021
Maranhão,2019,7041
Minas Gerais,2019,21158
Mato Grosso do Sul,2019,2709
Mato Grosso,2019,3431
Pará,2019,8561
Paraíba,2019,3997
Pernambuco,2019,9499
Piauí,2019,3272
Paraná,2019,11421
Rio de Janeiro,2019,17264
Rio Grande do Norte,2019,3507
Rondônia,2019,1767
Roraima,2019,540
Rio Grande do Sul,2019,11359
Santa Catarina,2019,7153
Sergipe,2019,2299
São Paulo,2019,45913
Tocantins,2019,1560
Acre,2020,878
Alagoas,2020,3344
Amazonas,2020,4044
Amapá,2020,853
Bahia,2020,14911
Ceará,2020,9184
Distrito Federal,2020,3053
Espírito Santo,2020,4060
Goiás,2020,7116
Maranhão,2020,7080
Minas Gerais,2020,21282
Mato Grosso do Sul,2020,2739
Mato Grosso,2020,3472
Pará,2020,8649
Paraíba,2020,4018
Pernambuco,2020,9559
Piauí,2020,3281
Paraná,2020,11503
Rio de Janeiro,2020,17366
Rio Grande do Norte,2020,3534
Rondônia,2020,1786
Roraima,2020,563
Rio Grande do Sul,2020,11404
Santa Catarina,2020,7241
Sergipe,2020,2319
São Paulo,2020,46283
Tocantins,2020,1577
Acre,2021,848
Alagoas,2021,3209
Amazonas,2021,4000
Amapá,2021,782
Bahia,2021,14767
Ceará,2021,9114
Distrito Federal,2021,2938
Espírito Santo,2021,4022
Goiás,2021,7134
Maranhão,2021,6945
Minas Gerais,2021,21105
Mato Grosso do Sul,2021,2760
Mato Grosso,2021,3619
Pará,2021,8470
Paraíba,2021,4064
Pernambuco,2021,9412
Piauí,2021,3348
Paraná,2021,11616
Rio de Janeiro,2021,17220
Rio Grande do Norte,2021,3419
Rondônia,2021,1717
Roraima,2021,574
Rio Grande do Sul,2021,11211
Santa Catarina,2021,7658
Sergipe,2021,2265
São Paulo,2021,45647
Tocantins,2021,1532
Acre,2022,852
Alagoas,2022,3210
Amazonas,2022,4039
Amapá,2022,787
Bahia,2022,14790
Ceará,2022,9146
Distrito Federal,2022,2952
Espírito Santo,2022,4046
Goiás,2022,7201
Maranhão,2022,6954
Minas Gerais,2022,21166
Mato Grosso do Sul,2022,2782
Mato Grosso,2022,3674
Pará,2022,8519
Paraíba,2022,4082
Pernambuco,2022,9435
Piauí,2022,3357
Paraná,2022,11672
Rio de Janeiro,2022,17211
Rio Grande do Norte,2022,3428
Rondônia,2022,1721
Roraima,2022,590
Rio Grande do Sul,2022,11204
Santa Catarina,2022,7783
Sergipe,2022,2273
São Paulo,2022,45732
Tocantins,2022,1541
Acre,2023,856
Alagoas,2023,3210
Amazonas,2023,4078
Amapá,2023,791
Bahia,2023,14808
Ceará,2023,9180
Distrito Federal,2023,2968
Espírito Santo,2023,4071
Goiás,2023,7274
Maranhão,2023,6959
Minas Gerais,2023,21235
Mato Grosso do Sul,2023,2805
Mato Grosso,2023,3731
Pará,2023,8565
Paraíba,2023,4101
Pernambuco,2023,9456
Piauí,2023,3366
Paraná,2023,11739
Rio de Janeiro,2023,17213
Rio Grande do Norte,2023,3436
Rondônia,2023,1727
Roraima,2023,608
Rio Grande do Sul,2023,11206
Santa Catarina,2023,7913
Sergipe,2023,2282
São Paulo,2023,45846
Tocantins,2023,1551
