#PIB Estadual - preços de mercado
Estado,Ano,PIB
Acre,2019,15630017
Alagoas,2019,58963729
Amazonas,2019,108181091
Amapá,2019,17496661
Bahia,2019,293240504
Ceará,2019,163575327
Distrito Federal,2019,273613711
Espírito Santo,2019,137345595
Goiás,2019,208672492
Maranhão,2019,97339938
Minas Gerais,2019,651872684
Mato Grosso do Sul,2019,106943246
Mato Grosso,2019,142122028
Pará,2019,178376984
Paraíba,2019,67986074
Pernambuco,2019,197853378
Piauí,2019,52780785
Rio de Janeiro,2019,779927917
Rio Grande do Norte,2019,71336780
Rondônia,2019,47091336
Roraima,2019,14292227
Rio Grande do Sul,2019,482464177
Santa Catarina,2019,323263857
Sergipe,2019,44689483
São Paulo,2019,2348338000
Tocantins,2019,39355941
Acre,2020,16476371
Alagoas,2020,63202349
Amazonas,2020,116019139
Amapá,2020,18469115
Bahia,2020,305320813
Ceará,2020,166914536
Distrito Federal,2020,265847334
Espírito Santo,2020,138445922
Goiás,2020,224126112
Maranhão,2020,106915962
Minas Gerais,2020,682786116
Mato Grosso do Sul,2020,122627726
Mato Grosso,2020,178649564
Pará,2020,215935604
Paraíba,2020,70292034
Pernambuco,2020,193307317
Piauí,2020,56391257
Rio de Janeiro,2020,753823711
Rio Grande do Norte,2020,71577107
Rondônia,2020,51598741
Roraima,2020,16024276
Rio Grande do Sul,2020,470941846
Santa Catarina,2020,349275016
Sergipe,2020,45409657
São Paulo,2020,2377638980
Tocantins,2020,43649803
Acre,2021,21374440.01
Alagoas,2021,76265620.29
Amazonas,2021,131531037.76
Amapá,2021,20099850.52
Bahia,2021,352617851.77
Ceará,2021,194884801.55
Distrito Federal,2021,286943782.03
Espírito Santo,2021,186336504.77
Goiás,2021,269627873.90
Maranhão,2021,124980719.95
Minas Gerais,2021,857593213.65
Mato Grosso do Sul,2021,142203766.43
Mato Grosso,2021,233390202.65
Pará,2021,262904979.12
Paraíba,2021,77470331.03
Pernambuco,2021,220813522.47
Piauí,2021,64028302.82
Rio de Janeiro,2021,949300770.40
Rio Grande do Norte,2021,80180733.09
Rondônia,2021,58170095.73
Roraima,2021,18202579.49
Rio Grande do Sul,2021,581283677.31
Santa Catarina,2021,428570888.75
Sergipe,2021,51861396.89
São Paulo,2021,2719751231.38
Tocantins,2021,51780764.39
Acre,2022,23676136.06
Alagoas,2022,76065805.84
Amazonas,2022,145140465.11
Amapá,2022,23614291.47
Bahia,2022,402646605.64
Ceará,2022,213600673.83
Distrito Federal,2022,328789563.03
Espírito Santo,2022,182548589.74
Goiás,2022,318586149.32
Maranhão,2022,139789145.99
Minas Gerais,2022,906730670.41
Mato Grosso do Sul,2022,166407328.53
Mato Grosso,2022,255527297.30
Pará,2022,236141873.83
Paraíba,2022,86094173.06
Pernambuco,2022,245828016.74
Piauí,2022,72834503.56
Rio de Janeiro,2022,1153512154.87
Rio Grande do Norte,2022,93819291.45
Rondônia,2022,66795453.51
Roraima,2022,21095341.82
Rio Grande do Sul,2022,593633656.21
Santa Catarina,2022,466274103.47
Sergipe,2022,57372241.37
São Paulo,2022,3130333202.50
Tocantins,2022,58208795.20
Acre,2023,
Alagoas,2023,
Amazonas,2023,
Amapá,2023,
Bahia,2023,
Ceará,2023,
Distrito Federal,2023,
Espírito Santo,2023,
Goiás,2023,
Maranhão,2023,
Minas Gerais,2023,
Mato Grosso do Sul,2023,
Mato Grosso,2023,
Pará,2023,
Paraíba,2023,
Pernambuco,2023,
Piauí,2023,
Rio de Janeiro,2023,
Rio Grande do Norte,2023,
Rondônia,2023,
Roraima,2023,
Rio Grande do Sul,2023,
Santa Catarina,2023,
Sergipe,2023,
São Paulo,2023,
Tocantins,2023,
