#Proporção das pessoas com acesso simultâneo aos três serviços de saneamento básico (abastecimento de água por rede geral coleta de lixo e esgotamento por rede coletora) segundo as Grandes Regiões as Unidades da Federação as Regiões Metropolitanas das Capitais e os Municípios das Capitais - Brasil
Estado,Ano,Saneamento Basico Total(1 000 pessoas),Proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico(%)
Rondônia,2019,1841,22.7
Acre,2023,914,37.8
Amazonas,2023,4221,43.6
Roraima,2023,610,54.6
Pará,2023,8902,18.4
Amapá,2023,900,22.9
Tocantins,2023,1627,32.4
Maranhão,2023,7192,24.2
Piauí,2023,3303,12.0
Ceará,2023,9339,53.0
Rio Grande do Norte,2023,3612,37.4
Paraíba,2023,4077,50.3
Pernambuco,2023,9727,59.2
Alagoas,2023,3384,38.3
Sergipe,2023,2376,49.0
Bahia,2023,15065,54.2
Minas Gerais,2023,21624,82.0
Espírito Santo,2023,4190,78.3
Rio de Janeiro,2023,17644,83.4
São Paulo,2023,47327,93.2
Paraná,2023,11738,70.4
Santa Catarina,2023,7492,58.8
Rio Grande do Sul,2023,11528,66.4
Mato Grosso do Sul,2023,2824,55.5
Mato Grosso,2023,3590,37.9
Goiás,2023,7388,58.3
Distrito Federal,2023,3168,89.3
Rondônia,2022,1823,16.3
Acre,2022,902,38.1
Amazonas,2022,4163,40.5
Roraima,2022,598,55.3
Pará,2022,8819,16.7
Amapá,2022,884,16.6
Tocantins,2022,1611,38.2
Maranhão,2022,7156,22.4
Piauí,2022,3296,15.4
Ceará,2022,9290,49.9
Rio Grande do Norte,2022,3587,34.3
Paraíba,2022,4058,46.0
Pernambuco,2022,9673,59.9
Alagoas,2022,3371,34.6
Sergipe,2022,2357,50.0
Bahia,2022,15017,55.3
Minas Gerais,2022,21515,79.6
Espírito Santo,2022,4148,75.1
Rio de Janeiro,2022,17556,83.8
São Paulo,2022,46991,92.9
Paraná,2022,11662,72.6
Santa Catarina,2022,7411,58.9
Rio Grande do Sul,2022,11489,68.2
Mato Grosso do Sul,2022,2797,56.8
Mato Grosso,2022,3552,36.4
Goiás,2022,7300,60.0
Distrito Federal,2022,3130,88.8
Rondônia,2021,,
Acre,2021,,
Amazonas,2021,,
Roraima,2021,,
Pará,2021,,
Amapá,2021,,
Tocantins,2021,,
Maranhão,2021,,
Piauí,2021,,
Ceará,2021,,
Rio Grande do Norte,2021,,
Paraíba,2021,,
Pernambuco,2021,,
Alagoas,2021,,
Sergipe,2021,,
Bahia,2021,,
Minas Gerais,2021,,
Espírito Santo,2021,,
Rio de Janeiro,2021,,
São Paulo,2021,,
Paraná,2021,,
Santa Catarina,2021,,
Rio Grande do Sul,2021,,
Mato Grosso do Sul,2021,,
Mato Grosso,2021,,
Goiás,2021,,
Distrito Federal,2021,,
Rondônia,2020,,
Acre,2020,,
Amazonas,2020,,
Roraima,2020,,
Pará,2020,,
Amapá,2020,,
Tocantins,2020,,
Maranhão,2020,,
Piauí,2020,,
Ceará,2020,,
Rio Grande do Norte,2020,,
Paraíba,2020,,
Pernambuco,2020,,
Alagoas,2020,,
Sergipe,2020,,
Bahia,2020,,
Minas Gerais,2020,,
Espírito Santo,2020,,
Rio de Janeiro,2020,,
São Paulo,2020,,
Paraná,2020,,
Santa Catarina,2020,,
Rio Grande do Sul,2020,,
Mato Grosso do Sul,2020,,
Mato Grosso,2020,,
Goiás,2020,,
Distrito Federal,2020,,
Rondônia,2019,1767,10.8
Acre,2019,865,31.3
Amazonas,2019,3983,40.1
Roraima,2019,540,37.1
Pará,2019,8561,14.9
Amapá,2019,838,13.7
Tocantins,2019,1560,34.1
Maranhão,2019,7041,18.8
Piauí,2019,3272,6.9
Ceará,2019,9129,44.2
Rio Grande do Norte,2019,3507,25.1
Paraíba,2019,3997,46.9
Pernambuco,2019,9499,55.5
Alagoas,2019,3330,40.2
Sergipe,2019,2299,45.5
Bahia,2019,14854,53.1
Minas Gerais,2019,21158,79.9
Espírito Santo,2019,4015,76.1
Rio de Janeiro,2019,17264,85.5
São Paulo,2019,45913,91.4
Paraná,2019,11421,69.7
Santa Catarina,2019,7153,58.8
Rio Grande do Sul,2019,11359,68.4
Mato Grosso do Sul,2019,2709,49.9
Mato Grosso,2019,3431,36.9
Goiás,2019,7021,59.6
Distrito Federal,2019,3013,86.1
