#Taxa de analfabetismo da população de 15 anos ou mais de idade segundo as Grandes Regiões as Unidades da Federação e os Municípios das Capitais - Brasil
Estado,Ano,Taxa de Analfabetismo
Rondônia,2023,5.1
Acre,2023,9.4
Amazonas,2023,5.1
Roraima,2023,4.2
Pará,2023,6.9
Amapá,2023,5.8
Tocantins,2023,7.8
Maranhão,2023,11.5
Piauí,2023,13.3
Ceará,2023,11.5
Rio Grande do Norte,2023,10.9
Paraíba,2023,13.2
Pernambuco,2023,10.1
Alagoas,2023,14.2
Sergipe,2023,11.2
Bahia,2023,10.2
Minas Gerais,2023,4.6
Espírito Santo,2023,4.4
Rio de Janeiro,2023,2.0
São Paulo,2023,2.3
Paraná,2023,3.4
Santa Catarina,2023,2.0
Rio Grande do Sul,2023,2.7
Mato Grosso do Sul,2023,3.9
Mato Grosso,2023,4.5
Goiás,2023,4.0
Distrito Federal,2023,1.7
Rondônia,2022,4.9
Acre,2022,8.5
Amazonas,2022,4.9
Roraima,2022,3.9
Pará,2022,7.4
Amapá,2022,5.0
Tocantins,2022,7.2
Maranhão,2022,12.1
Piauí,2022,14.8
Ceará,2022,12.0
Rio Grande do Norte,2022,10.5
Paraíba,2022,13.6
Pernambuco,2022,11.0
Alagoas,2022,14.4
Sergipe,2022,11.7
Bahia,2022,10.3
Minas Gerais,2022,4.8
Espírito Santo,2022,4.7
Rio de Janeiro,2022,2.1
São Paulo,2022,2.2
Paraná,2022,3.9
Santa Catarina,2022,2.2
Rio Grande do Sul,2022,2.5
Mato Grosso do Sul,2022,4.0
Mato Grosso,2022,4.9
Goiás,2022,4.5
Distrito Federal,2022,1.9
Rondônia,2021,
Acre,2021,
Amazonas,2021,
Roraima,2021,
Pará,2021,
Amapá,2021,
Tocantins,2021,
Maranhão,2021,
Piauí,2021,
Ceará,2021,
Rio Grande do Norte,2021,
Paraíba,2021,
Pernambuco,2021,
Alagoas,2021,
Sergipe,2021,
Bahia,2021,
Minas Gerais,2021,
Espírito Santo,2021,
Rio de Janeiro,2021,
São Paulo,2021,
Paraná,2021,
Santa Catarina,2021,
Rio Grande do Sul,2021,
Mato Grosso do Sul,2021,
Mato Grosso,2021,
Goiás,2021,
Distrito Federal,2021,
Rondônia,2020,
Acre,2020,
Amazonas,2020,
Roraima,2020,
Pará,2020,
Amapá,2020,
Tocantins,2020,
Maranhão,2020,
Piauí,2020,
Ceará,2020,
Rio Grande do Norte,2020,
Paraíba,2020,
Pernambuco,2020,
Alagoas,2020,
Sergipe,2020,
Bahia,2020,
Minas Gerais,2020,
Espírito Santo,2020,
Rio de Janeiro,2020,
São Paulo,2020,
Paraná,2020,
Santa Catarina,2020,
Rio Grande do Sul,2020,
Mato Grosso do Sul,2020,
Mato Grosso,2020,
Goiás,2020,
Distrito Federal,2020,
Rondônia,2019,5.7
Acre,2019,10.9
Amazonas,2019,5.1
Roraima,2019,4.6
Pará,2019,7.8
Amapá,2019,5.1
Tocantins,2019,8.9
Maranhão,2019,14.6
Piauí,2019,15.0
Ceará,2019,12.7
Rio Grande do Norte,2019,12.6
Paraíba,2019,15.1
Pernambuco,2019,11.0
Alagoas,2019,16.0
Sergipe,2019,12.6
Bahia,2019,12.0
Minas Gerais,2019,5.0
Espírito Santo,2019,4.8
Rio de Janeiro,2019,1.9
São Paulo,2019,2.4
Paraná,2019,4.1
Santa Catarina,2019,2.1
Rio Grande do Sul,2019,2.4
Mato Grosso do Sul,2019,4.6
Mato Grosso,2019,5.6
Goiás,2019,4.6
Distrito Federal,2019,2.5
