#Taxa bruta de mortalidade por causas selecionadas e grupos de idade segundo Grandes Regiões Unidades da Federação e Municípios das Capitais - Brasil
Estado,Ano,Taxa Total Mortalidade,0 a 14 anos,15 a 29 anos,30 a 44 anos,45 a 59 anos,60 anos ou mais,60 a 69 anos,70 anos ou mais
Rondônia,2023,5.73,1.10,1.48,2.31,5.45,29.98,14.45,53.54
Acre,2023,4.78,1.54,1.32,2.10,5.11,30.23,13.93,52.75
Amazonas,2023,4.80,1.53,1.60,2.42,5.34,29.47,14.13,52.66
Roraima,2023,4.74,2.52,1.57,2.46,5.75,28.21,14.66,49.97
Pará,2023,5.08,1.33,1.44,2.26,4.94,28.61,13.43,49.27
Amapá,2023,4.91,1.77,2.58,2.38,4.99,29.97,13.44,55.63
Tocantins,2023,5.68,1.11,1.63,2.35,5.57,28.37,12.48,48.07
Maranhão,2023,5.52,1.25,1.46,2.42,5.23,28.82,12.91,47.81
Piauí,2023,6.68,1.23,1.45,2.60,5.45,30.09,12.35,49.87
Ceará,2023,6.59,0.96,1.60,2.29,5.29,31.28,12.76,51.84
Rio Grande do Norte,2023,6.46,0.91,1.30,2.05,5.12,30.37,12.83,50.63
Paraíba,2023,6.97,1.11,1.38,2.29,5.72,31.71,13.57,51.13
Pernambuco,2023,7.18,1.09,1.64,2.53,6.21,33.37,15.34,54.80
Alagoas,2023,6.81,1.20,1.82,2.62,6.52,33.34,16.27,54.97
Sergipe,2023,6.17,1.47,1.52,2.30,5.49,29.82,13.67,50.06
Bahia,2023,6.94,1.20,2.06,2.52,5.72,30.33,13.49,50.07
Minas Gerais,2023,7.39,0.98,1.07,2.07,5.46,30.74,13.62,51.45
Espírito Santo,2023,6.70,1.06,1.52,2.11,5.29,29.05,13.32,49.91
Rio de Janeiro,2023,8.43,1.06,1.46,2.26,5.99,33.84,16.37,55.39
São Paulo,2023,7.29,0.91,0.92,1.91,5.38,32.41,14.63,54.85
Paraná,2023,7.09,0.91,1.24,2.16,5.50,30.89,14.00,52.65
Santa Catarina,2023,6.12,0.80,0.91,1.58,4.94,28.45,13.01,49.62
Rio Grande do Sul,2023,8.32,0.84,1.09,2.06,5.47,32.15,14.35,53.59
Mato Grosso do Sul,2023,6.82,1.25,1.40,2.31,6.26,32.74,15.61,55.69
Mato Grosso,2023,5.76,1.40,1.66,2.29,5.58,29.65,14.39,52.36
Goiás,2023,6.18,1.07,1.27,2.17,5.27,30.04,14.11,51.74
Distrito Federal,2023,3.18,0.53,0.55,0.90,2.35,17.64,7.80,30.70
Rondônia,2022,5.92,1.21,1.44,2.50,5.58,32.35,14.73,59.22
Acre,2022,4.77,1.47,1.20,2.12,5.21,31.77,15.31,54.62
Amazonas,2022,4.80,1.41,1.71,2.37,5.20,31.01,14.55,56.06
Roraima,2022,4.82,1.95,1.80,2.79,5.81,30.48,16.53,53.19
Pará,2022,5.31,1.31,1.61,2.27,5.21,31.11,14.45,53.94
Amapá,2022,4.83,1.53,2.06,2.48,5.53,31.84,15.16,57.76
Tocantins,2022,6.02,1.13,1.69,2.67,5.71,31.20,13.55,53.13
Maranhão,2022,5.71,1.25,1.40,2.52,5.56,30.88,13.74,51.31
Piauí,2022,7.25,1.31,1.53,2.58,5.87,34.23,13.55,57.31
Ceará,2022,7.06,0.98,1.68,2.34,5.63,34.90,13.59,58.39
